	id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
169430,Stylish + Comfortable Urban Victorian,807320,Kate,,Roxbury,42.32158,-71.09047,Entire home/apt,200,2,149,2020-02-23,1.43,1,7
190170,In-Law Suite w/Room to Spare :-),841314,Fanny & Candice,,Dorchester,42.31039,-71.06907,Entire home/apt,55,7,68,2020-03-01,0.65,1,228
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,,Jamaica Plain,42.3132,-71.11832,Private room,60,30,43,2019-12-28,0.42,1,118
197972,Perfect Location--Super Studio!,965697,Chris & Kristina,,Jamaica Plain,42.31732,-71.10834,Entire home/apt,90,2,387,2019-12-27,3.78,2,173
210097,Treetop Haven in the City,1035747,Maria Elena,,Jamaica Plain,42.31864,-71.10641,Entire home/apt,100,3,192,2020-03-07,1.86,1,227
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36539,-71.05438,Private room,95,3,251,2020-03-03,2.44,1,61
225224,4th floor office room,85770,Robert,,South End,42.34643,-71.07503,Private room,105,2,317,2019-12-05,3.09,5,88
257588,BOSTON LUXURY FOR LESS!!! NEAR BCEC,1355344,Meri,,South Boston,42.33066,-71.03984,Entire home/apt,200,2,326,2020-02-17,3.50,1,212
322593,Rent for at least 28 days! Heart of SouthEnd,1651480,Edward,,South End,42.34232,-71.07594,Entire home/apt,350,28,407,2020-02-14,4.79,4,226
400067,Private Room in Spacious Apartment1,1997048,ToRena,,Dorchester,42.30088,-71.0819,Private room,60,91,24,2019-10-07,0.29,4,363
447826,"Sweet Little House in JP, Boston",2053557,Hilary,,Jamaica Plain,42.31658,-71.11012,Private room,71,3,313,2020-03-01,3.33,1,214
464216,"Spacious, private room in Boston",2306777,Diana,,Fenway,42.3484,-71.10739,Private room,60,1,0,,,1,365
475254,Spectacular Boston Townhouse in Heart of Boston,2355815,Francine,,Bay Village,42.34846,-71.0681,Entire home/apt,500,91,19,2020-02-29,0.45,1,0
496022,"Private Floor, Private Bath, City Location",1956464,Maria,,Jamaica Plain,42.3092,-71.11836,Private room,200,91,16,2016-06-26,0.20,1,0
526970,BACK BAY/COPLEY FIRST FLOOR ROOM,85770,Robert,,South End,42.34523,-71.07282,Private room,148,2,175,2019-10-31,1.86,5,90
530983,The Grand View | 5BR 2BA | Victorian Home,71783,Lance,,Dorchester,42.31368,-71.0612,Entire home/apt,180,29,67,2019-10-29,0.75,39,142
533114,The Sawyer | 2BR 2.5BA | 1st Floor,71783,Lance,,Dorchester,42.3122,-71.0611,Entire home/apt,154,29,53,2019-09-05,0.58,39,259
533152,The Penthouse | 2BR 1BA | 4th Floor near the Redline and UMass Boston!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,128,29,55,2020-03-01,0.76,39,310
561769,The Sky View | 3BR 1BA | 3rd Floor,71783,Lance,,Dorchester,42.31371,-71.06126,Entire home/apt,103,29,59,2019-09-02,0.64,39,283
568234,City's Hippest Location/Two Bedrooms,2796082,Margaret,,Jamaica Plain,42.3036,-71.10539,Private room,95,1,270,2020-03-01,2.89,2,299
579605,The Mayhew | 2BR 1BA | 3rd Floor,71783,Lance,,Dorchester,42.32212,-71.06095,Entire home/apt,128,29,52,2020-03-02,0.57,39,331
583255,"Boston Beauty, Walk to C and B line",306407,Valery,,Brighton,42.34171,-71.14851,Entire home/apt,149,91,20,2019-02-09,0.37,1,0
601763,The Alameda 2 | 2BR 1BA | Brookline Area with easy and free parking!,71783,Lance,,West Roxbury,42.29192,-71.15407,Entire home/apt,128,29,37,2019-08-27,1.03,39,333
611081,Houseboat in Boston Harbor,3029783,Deborah,,Charlestown,42.37579,-71.04981,Entire home/apt,325,2,35,2019-10-28,0.82,3,331
619142, Getaway in Historic Charlestown,501427,Joe,,Charlestown,42.37808,-71.06343,Entire home/apt,175,91,168,2019-10-25,1.81,1,204
646087,1 Bed in Charming Southie Townhouse near BCEC,3236611,Ingrid,,South Boston,42.33477,-71.04995,Private room,188,1,7,2019-06-13,0.15,1,173
708802,Boston / Charlestown Apartment,3648427,Gerard  And Marie,,Charlestown,42.37755,-71.0628,Entire home/apt,100,2,374,2020-01-31,4.14,1,247
743211,Unique Find: At Home in the City!,2796082,Margaret,,Jamaica Plain,42.30581,-71.1126,Entire home/apt,550,3,75,2020-02-08,0.88,2,0
743759,AVAILABLE NOW: Private room & shared bath,7969,Carolyn,,Roslindale,42.29424,-71.13183,Private room,25,91,5,2019-09-30,0.06,2,365
753446,6 miles away from downtown Boston!,3962517,Sami,,Roslindale,42.28588,-71.12491,Private room,50,91,142,2019-07-27,2.58,1,355
771309,Room for rent in shared apartment,239850,Theodore,,Dorchester,42.30805,-71.04966,Private room,59,91,2,2019-09-19,0.03,1,196
798957,★2-Story★WalkScore95 ★ 1200ft² ★ 2 Baths,1651480,Edward,,South End,42.34232,-71.07594,Entire home/apt,347,3,413,2020-03-02,4.94,4,110
801680,*$89 Special!  BOSTONS BEST!!* Minutes to Center*,8229,Terry,,Roxbury,42.32852,-71.09539,Entire home/apt,169,3,56,2020-03-01,0.63,6,132
801722,$79 Special!!  Minutes to Center!  Private Space,8229,Terry,,Roxbury,42.32819,-71.09405,Entire home/apt,149,3,54,2019-10-17,0.61,6,205
820073,"Modern Loft, 1700 SqFt. Location!",1911807,Kelly & Chris,,Downtown,42.3558,-71.06104,Entire home/apt,275,2,78,2020-03-03,0.93,2,12
826706,Private Room in Spacious Apartment3,1997048,ToRena,,Dorchester,42.29996,-71.0806,Private room,79,91,7,2015-09-29,0.09,4,364
839265,Private Room in Spacious Apartment2,1997048,ToRena,,Dorchester,42.29822,-71.07621,Private room,61,91,26,2019-09-30,0.30,4,349
849408,"Perfect & Practical Boston Rental (1,000+ sqft)",4434391,Damon,,Roslindale,42.28882,-71.13951,Entire home/apt,239,4,150,2020-02-04,1.99,3,235
863788,2BR. Heart of South End. Walk to Marathon finish!,775932,Andy & Daljit,,South End,42.34367,-71.0708,Entire home/apt,385,2,9,2020-01-01,0.11,1,18
891661,GORGEOUS WATER FRT NORTH END STUDIO,4737456,Paolo,,North End,42.36853,-71.05363,Entire home/apt,125,2,407,2020-02-24,4.78,1,173
894539,Private room in house,4762495,Jennifer,,Roslindale,42.2909,-71.13024,Private room,90,2,59,2020-01-31,0.75,2,275
962610,Convenient Boston Hotel Alternative,4434391,Damon,,West Roxbury,42.29053,-71.14106,Entire home/apt,119,3,91,2019-11-21,1.13,3,170
973695,"Boston Center, Sleeps 1 to 4 people",1760577,Claire,,Downtown,42.35929,-71.06086,Entire home/apt,250,91,60,2019-11-03,0.76,1,365
989163,"5 ★ Clean  Modern & Peaceful, COVID-19 Protocols",5430185,Laura And Olivia,,South End,42.34308,-71.07316,Entire home/apt,170,3,53,2020-03-08,0.67,7,120
990668,✔Arlington✔Skydeck ✔Walk Score 95✔Full Kitchen,1651480,Edward,,South End,42.34232,-71.07595,Private room,156,3,291,2020-03-03,3.52,4,203
1009275,Urban Treehouse,868067,Laura,,South Boston,42.33269,-71.04536,Private room,120,1,85,2020-03-01,2.32,2,323
1038465,HANCOCK TOWER/COPLEY ROOM,85770,Robert,,South End,42.34644,-71.07481,Private room,140,2,257,2020-01-03,3.04,5,55
1042420,"Easy access to Airport, Downtown, Seaport. Fenway",5715872,Charlotte,,East Boston,42.38362,-71.02023,Entire home/apt,170,2,87,2018-11-16,1.06,1,166
1055627,Spacious 1 bdrm in Beacon Hill ,4299002,Lauren,,Beacon Hill,42.36076,-71.06399,Entire home/apt,125,91,8,2018-09-09,0.09,2,0
1058448,Private room in Boston,3920014,Patti And Javier,,Jamaica Plain,42.31218,-71.10473,Private room,80,1,40,2019-10-20,0.47,1,323
1071235,Cozy JP Studio-Great Location!,965697,Chris & Kristina,,Jamaica Plain,42.31748,-71.10819,Entire home/apt,90,2,325,2020-02-18,3.90,2,166
1077105,"Studio Apt. for Rent in South End, ",5927277,J,,South End,42.34022,-71.075,Entire home/apt,176,91,0,,,1,0
1090413,HynesConventionCtr-5min-Lge Rm-Pvt Bath,1984434,Irene,,Back Bay,42.34502,-71.0803,Private room,103,3,166,2020-03-02,2.42,3,319
1090545,BostonCtrBackBay-Pvt Bath&Rm-Comfy Bed,1984434,Irene,,Back Bay,42.34373,-71.08224,Private room,103,3,117,2019-12-06,1.42,3,307
1092093,Duplex Penthouse in Longwood Area,26988,Anne,,Mission Hill,42.33285,-71.10115,Entire home/apt,95,91,32,2019-05-18,0.39,7,130
1109224,4 bedroom Victorian Condo unit,1531239,Lita,,Jamaica Plain,42.32051,-71.11216,Entire home/apt,439,2,74,2020-03-01,0.93,1,326
1161210,Cozy rooms with parking and Wi-Fi 波士顿近郊舒适的睡房附带免费｡｡,3887707,Emily,,West Roxbury,42.27176,-71.16759,Private room,70,28,209,2019-08-16,2.53,1,155
1167221,BOSTON 2 Room + private bath for 3 walk to Train,6391436,Robin,,Jamaica Plain,42.30844,-71.11726,Private room,90,1,261,2020-03-01,3.59,4,80
1167987,Long-term Rental: Single Room/Sh Bath/No Cooking,7969,Carolyn,,Roslindale,42.29317,-71.13016,Private room,26,91,8,2019-04-13,0.11,2,167
1171578, Private Room in a One Family House,3765817,Frank,,Brighton,42.35384,-71.16795,Private room,99,1,249,2019-12-06,3.12,1,352
1187188,Entire loft in Boston,2238969,Kenji,,Jamaica Plain,42.30693,-71.10789,Entire home/apt,136,91,28,2019-07-23,0.39,1,358
1200502,Charming Garden Studio In South End,6557340,Karoline,,South End,42.33843,-71.07685,Entire home/apt,165,91,96,2020-03-01,1.23,1,360
1220971,Boston Huge 1BR Best location (h2b),5578043,Dror,,North End,42.36598,-71.0528,Entire home/apt,149,28,145,2020-01-06,1.93,7,158
1222327,"Cozy, 2 bdr,  2 baths, house near medical area!",6668129,Chuck,,Jamaica Plain,42.32473,-71.10792,Entire home/apt,121,5,15,2019-10-12,0.25,1,5
1240598,"Downtown Studio, Historic Theater District",2356643,Voyage,,Downtown,42.35257,-71.0636,Entire home/apt,145,10,170,2020-02-29,2.07,8,365
1252489,Beacon Hill 1-Bed,6824319,Samantha,,Beacon Hill,42.36105,-71.06593,Entire home/apt,200,91,65,2017-08-28,0.79,1,0
1275498,"5 ★ Clean & Sun-filled, COVID-19 Protocols",5430185,Laura And Olivia,,South End,42.34294,-71.07304,Entire home/apt,190,3,45,2020-03-10,0.56,7,227
1321422,Barney's Master Bedroom T Downtown,6608084,CarneyFamily,,Dorchester,42.30907,-71.04674,Private room,76,1,578,2020-03-12,7.12,6,168
1327725,★ Modern 2 BR in Brighton with Parking,7205617,Mikhail,,Brighton,42.346,-71.1399,Entire home/apt,147,3,252,2020-02-25,3.11,1,108
1332786,Cozy One Person Only - Quick Downtown,6608084,CarneyFamily,,Dorchester,42.30901,-71.04672,Private room,47,1,428,2020-03-13,5.27,6,118
1374434,"Authentic Boston, cozy room",255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,65,28,40,2020-02-01,0.51,5,101
1374466,"Real Boston, off the beaten track",255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,67,28,38,2019-12-31,0.50,5,180
1403408,Big Boston room,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,70,28,18,2019-06-29,0.22,5,70
1425973,Historic brick Victorian row house ,1015632,Kevin,,South End,42.33937,-71.08026,Private room,350,91,25,2019-09-06,0.32,1,89
1445064,Bright Sunlit bedroom near Spaulding/Downtown,4724006,Rosalia,,Charlestown,42.38017,-71.06236,Private room,68,28,103,2019-11-24,1.30,1,165
1454258,Inviting Queen Anne Victorian,7799789,Bruce,,Dorchester,42.30844,-71.0464,Private room,80,1,311,2019-11-05,3.87,3,362
1471308,Cozy Private Room Near Transit,7673571,Alexandra,,Mission Hill,42.33325,-71.10253,Private room,70,2,166,2019-06-21,2.07,1,140
1472481,John and Robert's Harbor View,6608084,CarneyFamily,,Dorchester,42.30901,-71.04672,Private room,75,1,563,2020-03-13,7.10,6,202
1472520,Andrea's Private Bath T Downtown,6608084,CarneyFamily,,Dorchester,42.30856,-71.04646,Private room,83,1,598,2020-03-12,7.48,6,154
1510876,Room with Sleeper Sofa Bed,7799789,Bruce,,Dorchester,42.31019,-71.04829,Private room,60,1,45,2019-08-09,0.56,3,341
1541166,Beautiful Studio 15 min to Downtown,552418,Vanya,,Charlestown,42.38159,-71.07892,Entire home/apt,109,2,39,2020-01-01,0.50,1,0
1544144,Charming Historic Home in Charlestown,7353037,Nancy And Tom,,Charlestown,42.37203,-71.06165,Entire home/apt,350,3,13,2019-12-30,0.58,1,207
1544702,Mary's Ocean View Metro Downtown,6608084,CarneyFamily,,Dorchester,42.30901,-71.04672,Private room,77,1,574,2020-03-12,7.24,6,177
1545185,"Large 1 Bed, Kitchen & Bath w/ Off Street Parking",697401,Nick,,Brighton,42.3484,-71.15696,Entire home/apt,140,2,121,2020-03-08,1.54,3,120
1584362,Grace's Harborview Fast T Downtown,6608084,CarneyFamily,,Dorchester,42.30976,-71.04742,Private room,63,1,613,2020-03-12,7.79,6,160
1596470,3-story Luxury in Central Location,480310,Michael,,Bay Village,42.34988,-71.06918,Entire home/apt,265,29,139,2018-12-28,1.76,1,68
1596664,"Fort Hill Top - 2Bk Private room,  brick townhouse",8513158,Kevin,,Roxbury,42.3256,-71.09413,Private room,78,60,19,2019-07-14,0.80,3,211
1644031,Large Private bedroom by Seaport,8725557,Brooke,,South Boston Waterfront,42.34017,-71.04763,Private room,105,1,257,2020-03-08,5.21,1,149
1668313,Room in Rozzie-Twin Bed-Full Bath,8834105,Rebecca,,Roslindale,42.28194,-71.13337,Private room,53,28,36,2019-09-23,0.46,2,365
1677807,"Sunny, welcoming 2 - bedroom condo in Boston",4192881,Julia,,Brighton,42.34923,-71.17173,Entire home/apt,95,3,47,2020-03-08,0.60,1,75
1682936,Charming 2 level Apartment,8898973,Adriana & Gianni,,Roxbury,42.32371,-71.09458,Entire home/apt,150,2,218,2020-03-08,2.96,2,298
1692573,Urban oasis trendy JP 'hood - suite,8814724,Kelly,,Jamaica Plain,42.31338,-71.11719,Entire home/apt,145,2,211,2020-03-01,2.71,1,311
1721016,Quiet Sunlit Attic Studio,7723912,Fj,,Roslindale,42.28607,-71.13236,Entire home/apt,78,30,7,2017-08-05,0.10,2,349
1724900,Charming sunlit house in Boston,7723912,Fj,,Roslindale,42.28291,-71.13268,Entire home/apt,110,28,43,2019-10-28,0.55,2,352
1732804,Private Bedroom/king sized bed; shared bathroom,9090219,Thomas,,Dorchester,42.29041,-71.05853,Private room,70,1,126,2020-03-02,1.61,1,351
1754939,"Gorgeous, spacious townhouse in Boston",9228417,Alice,,Jamaica Plain,42.31227,-71.10086,Entire home/apt,165,1,18,2019-07-10,0.42,1,0
1757417,Queen in Arts & Crafts Bungalow,9241244,Keith (& Beth),,West Roxbury,42.2779,-71.14423,Private room,60,1,69,2019-10-08,1.29,3,0
1810172,Room for 2 in Rozzie - Full Bath,8834105,Rebecca,,Roslindale,42.28209,-71.13335,Private room,67,28,37,2019-10-12,0.48,2,365
1810397,3Bed/2.5Bath Luxury Triplex South End's Union Park,9485021,Stacy,,South End,42.34279,-71.0711,Entire home/apt,890,4,42,2020-03-09,0.60,1,150
1815326,Back Bay Elegance in Brighton,9508341,Phyllis,,Brighton,42.35509,-71.16242,Private room,99,1,302,2020-03-07,4.30,2,350
1819994,"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",9529655,Suzanne,,Fenway,42.34947,-71.09265,Entire home/apt,265,91,2,2018-05-24,0.04,4,309
1821633,Queen Size Four Poster Bed,7799789,Bruce,,Dorchester,42.30958,-71.04792,Private room,100,1,210,2019-10-27,2.70,3,365
1863443,Perfect location in Fenway - washer/dryer & WIFI,9419684,Mike,,Fenway,42.34411,-71.1013,Entire home/apt,213,29,6,2017-04-29,0.08,68,180
1867834,Lux 2 Bedroom Apt Near Waterfront w/wifi,9419684,Mike,,West End,42.36422,-71.06926,Entire home/apt,293,91,4,2014-09-19,0.05,68,74
1867881,"Lux 2 Bedroom near Charles St w/gym, & WiFi",9419684,Mike,,West End,42.36429,-71.06827,Entire home/apt,312,29,6,2018-04-17,0.08,68,181
1868004,Lux 1 Bedroom near Charles St w/gym & WiFi,9419684,Mike,,West End,42.36429,-71.06827,Entire home/apt,217,91,6,2015-04-26,0.09,68,61
1868124,Perfectly located in Boston Theatre District,9419684,Mike,,Chinatown,42.35193,-71.06261,Entire home/apt,244,29,10,2019-02-01,0.14,68,179
1881298,Private Apartment- Minutes from T!,1920539,Caitlin & Dan,,Jamaica Plain,42.30026,-71.11181,Entire home/apt,130,1,511,2019-12-17,6.61,1,260
1885386,Boston Large Private Bedroom  - walk to Train,6391436,Robin,,Jamaica Plain,42.30847,-71.11726,Private room,85,1,246,2020-03-01,3.36,4,80
1885825,Boston WALK TO TRAIN Room for 3 private bath,6391436,Robin,,Jamaica Plain,42.3088,-71.1172,Private room,70,1,279,2020-03-04,3.84,4,66
1886037,Beautiful Penthouse in Beacon Hill,1587128,Daniel,,Beacon Hill,42.36056,-71.07141,Entire home/apt,230,91,1,2015-07-24,0.02,1,0
1887507,Location!! Downtown Near Convention Center,970787,Poli,,South Boston,42.34066,-71.05117,Private room,125,2,72,2020-01-16,0.93,2,65
1935042,Cozy Room in Quaker Community,10013311,Beacon,,Beacon Hill,42.35706,-71.06618,Private room,110,1,231,2020-03-13,3.08,2,42
1944976,1 room with queen bed in Boston...,10060070,Diana,,Dorchester,42.31161,-71.04613,Private room,76,91,5,2015-09-06,0.08,1,0
1960407,Sunny Room in Quaker Community,10013311,Beacon,,Beacon Hill,42.3568,-71.06749,Private room,135,1,150,2020-03-13,1.98,2,39
1966195,*Super* downtown location w/heated infinity pool,9419684,Mike,,Downtown,42.3509,-71.06321,Entire home/apt,312,29,34,2018-09-09,0.47,68,365
2000797,"Sea view,balcony,15min by metro to center,safe st",9898255,Jessica,,Dorchester,42.31502,-71.06115,Private room,70,91,143,2019-11-03,2.06,5,360
2014651,One Private Bedroom in J.P.,2155838,Molly,,Jamaica Plain,42.30711,-71.10582,Private room,120,91,38,2019-09-02,0.50,1,362
2014882,1 bedroom and private bathroom,1521296,Yossi,,Brighton,42.34126,-71.15717,Private room,70,3,223,2020-02-10,3.19,2,217
2021483,Spacious Updated 2 Bed Boston Condo,10197317,Shannon,,South Boston,42.33535,-71.04741,Entire home/apt,500,1,8,2020-03-01,0.18,2,359
2021489,Spacious Updated Boston Room/Condo,10197317,Shannon,,South Boston,42.33323,-71.04933,Private room,200,1,85,2019-09-25,1.78,2,360
2022303,LOCATION! Modern 2BD 2 BA w/Parking,10393465,Gary,,South Boston,42.34179,-71.05274,Entire home/apt,350,2,194,2020-02-14,2.58,2,292
2108738,Back Bay Studio,10750832,Tom,,Back Bay,42.35046,-71.08894,Entire home/apt,150,91,34,2016-08-14,0.45,1,0
2126053,"Studio, w kitchenette, in owner's Beacon Hill home",10844648,Janet,,Beacon Hill,42.35672,-71.07147,Entire home/apt,165,5,104,2019-12-08,1.44,1,170
2141306,Modern 2Bd1BA in Downtown Boston,5355690,Kyle,,Downtown,42.35447,-71.06011,Entire home/apt,300,91,7,2017-06-18,0.09,1,0
2183058,Historic Boston North End Condo,11132080,Cindy & Mark,,North End,42.36429,-71.05452,Entire home/apt,195,91,169,2019-12-16,2.31,1,320
2183117,I bdrm in Boston/Allston/Brookline,11132354,Alla,,Allston,42.35159,-71.13347,Entire home/apt,125,30,48,2019-08-30,0.77,1,155
2187640,Beautiful apt near Boston Children's Hospital,9419684,Mike,,Chinatown,42.35136,-71.06236,Entire home/apt,220,29,3,2014-10-12,0.04,68,179
2187766,Great location near Boston Theater District w/pool,9419684,Mike,,Chinatown,42.35193,-71.06261,Entire home/apt,312,29,27,2019-05-22,0.37,68,352
2215762,"5 ★ Clean Victorian Gem, Covid-19 Protocols",5430185,Laura And Olivia,,South End,42.34303,-71.07305,Entire home/apt,140,5,28,2020-03-02,0.39,7,202
2219399,Sunny Private Room & Bath in JP: Breakfast+Parking,1624549,Andrew,,Jamaica Plain,42.30073,-71.11431,Private room,112,2,182,2020-03-08,2.55,1,329
2256444,Private Boston Home 10 min WALK TO TRAIN,6391436,Robin,,Jamaica Plain,42.30942,-71.1171,Entire home/apt,230,2,13,2019-09-13,0.18,4,4
2277821,Sparkling New 2BR / 2BA in Back Bay,9410008,Jason,,Back Bay,42.34877,-71.08418,Entire home/apt,425,2,169,2020-02-28,2.33,18,340
2278704,Victorian queen,11631886,Cynthia,,Mattapan,42.28192,-71.09514,Private room,57,1,143,2019-11-05,1.99,4,329
2292495,furnished 1 bed apartment copley #5,9653086,Glenn,,South End,42.34032,-71.07572,Entire home/apt,175,28,69,2019-10-29,1.03,6,254
2378421,Light-filled Private Suite on Beautiful Street,12150111,A And L,,Jamaica Plain,42.31144,-71.11864,Entire home/apt,135,2,130,2019-12-07,1.81,3,145
2395326,* Brownstone Classic South End,12230539,Tim,,South End,42.34568,-71.07169,Entire home/apt,119,1,403,2020-02-29,5.48,1,5
2495047,"5 ★ Clean, Sophisticated Charm,  COVID-19 Protocol",5430185,Laura And Olivia,,South End,42.34309,-71.07316,Entire home/apt,115,4,29,2020-02-17,0.43,7,186
2526773,Charming comfort 1 BR / Studio,12165186,Masha,,Brighton,42.3438,-71.1563,Entire home/apt,52,91,13,2020-01-11,0.19,2,364
2583074,Cozy room in a charming villa.,13226301,Mohamed,,Roslindale,42.27965,-71.13606,Private room,40,2,37,2019-12-21,0.54,3,276
2658094,"Beautiful Boston NEnd spacious & Light 2Bd, 1BA-2D",5578043,Dror,,North End,42.36597,-71.05271,Entire home/apt,299,28,143,2020-02-29,2.04,7,13
2672058,"Modern loft, walk to subway",13565868,Christie,,Allston,42.35322,-71.13227,Private room,85,91,12,2016-09-09,0.17,1,0
2701124,Charlesview Suites Back Bay ,13822322,Varouj,,Back Bay,42.34507,-71.08601,Entire home/apt,280,3,77,2019-09-27,1.14,1,274
2723274,Lofty Modern 2BD Apt 800 sq ft,8790904,Albert,,Bay Village,42.34868,-71.07043,Entire home/apt,200,2,26,2019-10-27,0.37,1,6
2737853,South End Chic,14008862,Mariel,,South End,42.34322,-71.07211,Entire home/apt,160,91,5,2015-07-06,0.07,1,0
2747654,Nice Furnished Apt by Theater District,2356643,Voyage,,Downtown,42.35033,-71.065,Entire home/apt,175,10,175,2019-11-15,2.46,8,361
2754975,Perfect Location to Explore Boston,6885890,Jonathan,,Beacon Hill,42.35757,-71.06366,Entire home/apt,150,180,100,2019-08-21,1.43,1,258
2794782,Green Home (Queen size bed),10273324,Steven,,Dorchester,42.28284,-71.07116,Private room,65,4,56,2019-12-31,0.79,2,183
2798599,Boston's Most Historic District!,14099596,Robert,,Charlestown,42.37407,-71.06016,Private room,139,91,51,2019-11-03,1.74,1,364
2798787,A private room on Sunnyside,13372537,Molly,,Jamaica Plain,42.32451,-71.10541,Private room,75,1,266,2020-03-01,3.75,1,320
2811937,Green Home (Full size bed),10273324,Steven,,Dorchester,42.28439,-71.06912,Private room,65,4,72,2019-11-30,1.01,2,32
2843445,"""Tranquility"" on ""Top of the Hill""",3164508,Marilyn,,Roslindale,42.28195,-71.14102,Private room,85,91,75,2017-12-31,1.06,2,227
2846739,SECOND FLOOR PARLOR ROOM,85770,Robert,,South End,42.34623,-71.07364,Private room,140,2,177,2019-10-31,2.47,5,74
2881388,3BR / 2BA + Prvt Deck in Back Bay,9410008,Jason,,Back Bay,42.34877,-71.08418,Entire home/apt,695,2,181,2020-02-17,2.57,18,347
2886933,BEAUTIFUL SINGLE FAMILY VICTORIAN in Hyde Park!,13776857,Katy,,Hyde Park,42.26118,-71.11989,Entire home/apt,249,2,93,2019-11-30,1.32,1,13
2892825,Luxury Sunny Hill Townhouse Apt 1,14785487,Aihua,,Roxbury,42.31018,-71.08543,Entire home/apt,450,28,14,2019-08-31,0.22,6,361
2931165,Victorian Full Bed,11631886,Cynthia,,Mattapan,42.2795,-71.09377,Private room,49,1,133,2019-09-21,1.89,4,329
2931271,3 bedrooms in Victorian home.,11631886,Cynthia,,Mattapan,42.281,-71.0941,Private room,139,2,49,2019-10-06,0.71,4,329
2931870,Victorian In-law,11631886,Cynthia,,Mattapan,42.27921,-71.09527,Private room,72,2,89,2019-09-08,1.26,4,329
2943438,Beacon St Apt by Charles River,14338198,Maryanne,,Fenway,42.35042,-71.09295,Entire home/apt,175,91,8,2015-06-18,0.11,1,365
