TYPE,tycod,typ_eng,sub_tycod,sub_eng,SocDis,PrivateConflict,Violence,Guns,Frequency_2015,Frequency_2016,Frequency_2017,Frequency_2018,yr.intro,last.yr
ALARMX,ALARM,ALARM,X,CANCELLATION,0,0,0,0,3688,3440,2940,2931,2014,2019
AODDEFAULT,AOD,ASSIST OUTSIDE DEPARTMENT,DEFAULT,NA,0,0,0,0,1502,1459,1491,1567,2014,2019
ARMROBDEFAULT,ARMROB,ARMED ROBBERY,DEFAULT,NA,0,0,1,0,430,445,413,307,2014,2019
ARRESTDEFAULT,ARREST,ARREST REPORT,DEFAULT,NA,0,0,0,0,7544,6642,6509,6020,2014,2019
ASLTIPDEFAULT,ASLTIP,ASSAULT IN PROGRESS,DEFAULT,NA,0,0,0,0,295,376,594,440,2014,2019
ASSTPODEFAULT,ASSTPO,ASSIST POLICE OFFICER ,DEFAULT,NA,0,0,0,0,144,120,105,117,2014,2019
ASTEMSDEFAULT,ASTEMS,ASSIST EMS OFFICIALS ONSCENE   (E) (P),DEFAULT,NA,0,0,0,0,95,114,76,79,2014,2019
BE===>>>,BE,BREAKING AND ENTERING,===>>>,PICK A SUB-TYPE,0,0,0,0,12,5,10,6,2014,2019
BEATTEMPT,BE,BREAKING AND ENTERING,ATTEMPT,ATTEMPT REPORT,0,0,0,0,308,257,234,254,2014,2019
BEIP,BE,BREAKING AND ENTERING,IP,IN PROGRESS,0,1,0,0,1856,1849,1988,1640,2014,2019
BEMVIP,BE,BREAKING AND ENTERING,MVIP,TO A MOTOR VEHICLE IN PROGESS,0,0,0,0,407,495,459,384,2014,2019
BEMVRPT,BE,BREAKING AND ENTERING,MVRPT,TO A MOTOR VEHICLE REPORT,0,0,0,0,2506,2510,2216,1877,2014,2019
BERPT,BE,BREAKING AND ENTERING,RPT,REPORT,0,0,0,0,2707,2357,1970,1719,2014,2019
BLEEDEXHEM1,BLEED,HEMORRHAGE   (E) (P) (F),EXHEM1,EXTERNAL HEMORRHAGE,0,0,0,0,64,54,69,59,2014,2019
BOLO===>>>,BOLO,BOLO,===>>>,PICK A SUB-TYPE,0,0,0,0,11,18,15,8,2014,2019
BOLOPOLICE,BOLO,BOLO,POLICE,GENERAL BROADCAST,0,0,0,0,37,79,117,154,2014,2019
BOLOSILVER,BOLO,BOLO,SILVER,ELDERLY,0,0,0,0,2,4,1,1,2015,2018
BOMB===>>>,BOMB,BOMB,===>>>,PICK A SUB-TYPE,0,0,0,0,1,0,1,0,2014,2017
BOMBBOMBT,BOMB,BOMB,BOMBT,BOMB THREAT    (P) (E) (F),0,0,0,0,0,0,1,0,2017,2017
BOMBEXPLOS,BOMB,BOMB,EXPLOS,EXPLOSION OF BOMB    (P) (E) (F),0,0,0,0,0,0,1,1,2014,2018
BOMBFOUND,BOMB,BOMB,FOUND,BOMB REMOVAL OR FOUND DEVICE    (P) (E) (F),0,0,0,0,7,6,2,4,2014,2019
BOMBTHREAT,BOMB,BOMB,THREAT,BOMB THREAT    (P) (E) (F),0,0,0,0,55,45,35,35,2014,2019
BURN===>>>,BURN,BURNS,===>>>,PICK A SUB-TYPE,0,0,0,0,1,1,0,0,2015,2016
BURN1,BURN,BURNS,1,MAJOR BURNS / ELECTRICAL SHOCK   (E) (F) (P),0,0,0,0,17,20,11,12,2014,2019
BUYBACKDEFAULT,BUYBACK,GUN BUY BACK PROGRAM ,DEFAULT,NA,0,0,0,0,30,6,1,1,2014,2018
CARDIAC===>>>,CARDIAC,CARDIAC EVENT,===>>>,PICK A SUB-TYPE,0,0,0,0,1,0,0,0,2014,2015
CARDIACARREST,CARDIAC,CARDIAC EVENT,ARREST,CARDIAC ARREST   (E) (F) (P),0,0,0,0,678,654,766,733,2014,2019
CARDIACCARST,CARDIAC,CARDIAC EVENT,CARST,CARDIAC ARREST   (E) (F) (P),0,0,0,0,0,0,0,0,2019,2019
CARJAKDEFAULT,CARJAK,CARJACKING,DEFAULT,NA,0,0,0,0,28,27,28,25,2014,2019
CD11DEFAULT,CD11,WARRANT SERVICE,DEFAULT,NA,0,0,0,0,2554,2459,2829,2306,2014,2019
CD12DEFAULT,CD12,WARRANT PICKUP,DEFAULT,NA,0,0,0,0,30,18,10,20,2014,2018
CD13DEFAULT,CD13,OUT OF CITY ASSIGNMENT,DEFAULT,NA,0,0,0,0,690,703,799,761,2014,2019
CD14DEFAULT,CD14,TOWING,DEFAULT,NA,0,0,0,0,131,73,254,146,2014,2019
CD15DEFAULT,CD15,TRAFFIC ENFORCEMENT,DEFAULT,NA,0,0,0,0,5419,5819,5770,6352,2014,2019
CD16DEFAULT,CD16,TAGGING,DEFAULT,NA,0,0,0,0,3564,2176,1981,2013,2014,2019
CD18DEFAULT,CD18,RANGE ,DEFAULT,NA,0,0,0,0,0,0,191,223,2017,2019
CD19DEFAULT,CD19,WALK AND TALK,DEFAULT,NA,0,0,0,0,106271,88681,84472,79167,2014,2019
CD19FDEFAULT,CD19F,WALK & TALK (FIXED POST),DEFAULT,NA,0,0,0,0,2643,3835,8889,15665,2014,2019
CD19IVDEFAULT,CD19IV,WALK AND TALK INVEST,DEFAULT,NA,0,0,0,0,1623,1489,1477,1384,2014,2019
CD19RADEFAULT,CD19RA,WALK AND TALK RA,DEFAULT,NA,0,0,0,0,191,153,135,73,2014,2019
CD19SDEFAULT,CD19S,WALK & TALK SCHOOL ,DEFAULT,NA,0,0,0,0,2241,2393,2340,2686,2015,2019
CD19TDEFAULT,CD19T,BOMB SQUAD CD19,DEFAULT,NA,0,0,0,0,0,12468,13705,12418,2016,2019
CD22DEFAULT,CD22,EMERGENCY SHELTER COVERAGE,DEFAULT,NA,0,0,0,0,18,7,5,7,2014,2018
CD231,CD23,GUARDING PRISONER,1,NA,0,0,0,0,0,0,0,0,2014,2014
CD23DEFAULT,CD23,GUARDING PRISONER,DEFAULT,NA,0,0,0,0,790,781,704,714,2014,2019
CD24DEFAULT,CD24,209A SERVICE,DEFAULT,NA,0,0,0,0,4064,4339,4565,4514,2014,2019
CD26DEFAULT,CD26,SPECIAL EVENT,DEFAULT,NA,0,0,0,0,334,348,414,303,2014,2019
CD303ADEFAULT,CD303A,OFFICER DISCHARGED LESS THAN LETHAL WEAPON,DEFAULT,NA,0,0,0,0,3,3,1,3,2015,2018
CD303BDEFAULT,CD303B,OFFICER DISCHARGE TASER ,DEFAULT,NA,0,0,0,0,0,0,2,3,2017,2018
CD303DEFAULT,CD303,OFFICER DISCHARGE FIREARM,DEFAULT,NA,0,0,0,0,5,4,4,6,2014,2018
CD35DEFAULT,CD35,LICENSE CHECK,DEFAULT,NA,0,0,0,0,1700,1963,1555,1584,2014,2019
CD4DEFAULT,CD4,FEMALE PRISONER TANSPORT,DEFAULT,NA,0,0,0,0,2135,1951,1990,1756,2014,2019
CD55DEFAULT,CD55,ONLINE TRAINING,DEFAULT,NA,0,0,0,0,894,710,607,567,2014,2018
CD5DEFAULT,CD5,PRISONER TRANSPORT,DEFAULT,NA,0,0,0,0,4413,4120,4086,3865,2014,2019
CD7DEFAULT,CD7,ESCORT DUTY,DEFAULT,NA,0,0,0,0,1829,1988,1852,1890,2014,2019
CD8DEFAULT,CD8,SCHOOL CROSSING,DEFAULT,NA,0,0,0,0,8551,9175,7037,5259,2014,2019
CD99DEFAULT,CD99,HOSTAGE SITUATION (SUPERVISOR CAN ONLY CALL),DEFAULT,NA,0,0,0,0,14,13,26,16,2014,2019
CD9DEFAULT,CD9,STATION ASSIGNMENT,DEFAULT,NA,0,0,0,0,28113,25806,24951,24198,2014,2019
CHDABUDEFAULT,CHDABU,CHILD ABUSE,DEFAULT,NA,0,0,0,0,163,96,13,0,2014,2017
DISTRBDEFAULT,DISTRB,DISTURBANCE,DEFAULT,NA,0,0,0,0,3500,3413,4250,4410,2014,2019
DISTRBDRUNKS,DISTRB,DISTURBANCE,DRUNKS,DRUNKS CAUSING A DISTURBANCE,1,0,0,0,1840,1526,1573,1382,2014,2019
DISTRBGANG,DISTRB,DISTURBANCE,GANG,GROUP CAUSING A DISTURBANCE,0,0,0,0,3315,3110,3075,2596,2014,2019
DISTRBLMUSIC,DISTRB,DISTURBANCE,LMUSIC,LOUD MUSIC,0,0,0,0,7552,7826,7830,8011,2014,2019
DISTRBNOISE,DISTRB,DISTURBANCE,NOISE,UNIDENTIFIED NOISE,0,0,0,0,1634,1645,1849,1675,2014,2019
DISTRBPANHAN,DISTRB,DISTURBANCE,PANHAN,PANHANDLERS DISTURBING A BUSINESS,1,0,0,0,1106,880,1031,748,2014,2019
DISTRBPARTY,DISTRB,DISTURBANCE,PARTY,LOUD PARTY,0,0,0,0,6605,5732,5396,4633,2014,2019
DISTRBVERBAL,DISTRB,DISTURBANCE,VERBAL,VERBAL ALTERCATION/ARGUMENT,0,0,0,0,5398,4899,5273,5832,2014,2019
DROWNDEFAULT,DROWN,DROWNING / WATER RESCUE   (P) (E) (F),DEFAULT,NA,0,0,0,0,12,33,23,30,2014,2019
EDP===>>>,EDP,EMOTIONALLY DISTURBED PERSON,===>>>,PICK A SUB-TYPE,0,0,0,0,28,35,28,28,2014,2019
EDP2,EDP,EMOTIONALLY DISTURBED PERSON,2,POTENTIAL FOR VIOLENCE,0,0,1,0,3779,3683,3742,3888,2014,2019
ELEVATOR===>>>,ELEVATOR,ELEVATOR,===>>>,PICK A SUB-TYPE,0,0,0,0,4,0,0,0,2014,2015
ELEVATORACCIDENT,ELEVATOR,ELEVATOR,ACCIDENT,ACCIDENT   (F) (E) (P),0,0,0,0,5,3,4,3,2014,2018
FDBODYDEFAULT,FDBODY,FOUND BODY,DEFAULT,NA,0,0,0,0,19,21,23,36,2014,2019
FDWEAPBLLST,FDWEAP,FOUND WEAPON,BLLST,BALLISTICS,0,0,0,0,46,100,171,140,2014,2019
FDWEAPDEFAULT,FDWEAP,FOUND WEAPON,DEFAULT,NA,0,0,0,0,142,107,89,79,2014,2019
FDWEAPGUN,FDWEAP,FOUND WEAPON,GUN,GUN,0,0,0,1,85,68,117,74,2014,2019
FDWEAPKNIFE,FDWEAP,FOUND WEAPON,KNIFE,KNIFE,0,0,0,0,18,19,21,20,2014,2019
FDWEAPOC,FDWEAP,FOUND WEAPON,OC,OC SPRAY,0,0,0,0,1,0,0,0,2014,2015
FIGHTDEFAULT,FIGHT,FIGHT,DEFAULT,NA,0,0,1,0,7392,6682,5850,5381,2014,2019
FIRE===>>>,FIRE,FIRE,===>>>,PICK A SUB-TYPE,0,0,0,0,4,9,2,2,2014,2018
FIREPIER,FIRE,FIRE,PIER,"PIER FIRE, PILLINGS   (F) (E) (P)",0,0,0,0,1,2,5,4,2014,2018
FIRESHIP,FIRE,FIRE,SHIP,SHIP/BOAT FIRE    (F) (E) (P),0,0,0,0,8,2,2,2,2014,2019
FIRESHIPDOCK,FIRE,FIRE,SHIPDOCK,SHIP  AT DOCK    (F) (E) (P),0,0,0,0,7,11,1,3,2014,2018
FIRESTB,FIRE,FIRE,STB,STRUCK BOX    (F) (E) (P),0,0,0,0,1648,1672,1815,1604,2014,2019
FIRETRAIN,FIRE,FIRE,TRAIN,TRAIN SMOKE/FIRE/ACCIDENT    (F) (E) (P),0,0,0,0,4,2,1,3,2014,2019
FO===>>>,FO,OTHER TYPE FIRE,===>>>,PICK A SUB-TYPE,0,0,0,0,1,0,0,0,2014,2015
FODWNPWR,FO,OTHER TYPE FIRE,DWNPWR,DOWNED POWER LINES   (F) (P),0,0,0,0,310,296,263,408,2014,2019
FOFV,FO,OTHER TYPE FIRE,FV,VEHICLE FIRE   (F) (P),0,0,0,0,483,434,399,408,2014,2019
FOMANHOLE,FO,OTHER TYPE FIRE,MANHOLE,MANHOLE FIRE   (F) (P),0,0,0,0,68,88,94,87,2014,2019
FOTRANSFORMER,FO,OTHER TYPE FIRE,TRANSFORMER,TRANSFORMER FIRE   (F) (P),0,0,0,0,56,48,47,66,2014,2019
FOTREE,FO,OTHER TYPE FIRE,TREE,DOWN TREE NO WIRES   (F) (P),0,0,0,0,58,87,73,123,2014,2019
FOVAULT,FO,OTHER TYPE FIRE,VAULT,VAULT FIRE   (F) (P),0,0,0,0,1,0,0,0,2015,2015
HANGUP===>>>,HANGUP,HANGUP CALL,===>>>,PICK A SUBTYPE,0,0,0,0,0,45,32,8,2016,2019
HANGUPBUS,HANGUP,HANGUP CALL,BUS,FROM A BUSINESS,0,0,0,0,0,470,2038,5204,2016,2019
HANGUPCELL,HANGUP,HANGUP CALL,CELL,FROM A CELL PHONE ,0,0,0,0,0,4552,19390,30628,2016,2019
HANGUPPAYPHONE,HANGUP,HANGUP CALL,PAYPHONE,FROM A PAYPHONE,0,0,0,0,0,0,0,194,2018,2018
HANGUPPH,HANGUP,HANGUP CALL,PH,FROM A PAYPHONE,0,0,0,0,0,0,0,73,2018,2019
HANGUPRES,HANGUP,HANGUP CALL,RES,RESIDENCE,0,0,0,0,0,135,533,789,2016,2019
HAZMAT===>>>,HAZMAT,HAZARDOUS MATERIALS INCIDENT,===>>>,PICK A SUB-TYPE,0,0,0,0,16,4,8,10,2014,2019
HAZMATBIOC,HAZMAT,HAZARDOUS MATERIALS INCIDENT,BIOC,BIOLOGICAL INCIDENT - CONFIRMED   (F) (E) (P),0,0,0,0,1,0,0,1,2014,2018
HAZMATBIOT,HAZMAT,HAZARDOUS MATERIALS INCIDENT,BIOT,BIOLOGICAL INCIDENT - THREAT   (F) (E) (P),0,0,0,0,8,4,5,4,2014,2018
HAZMATLEVEL1,HAZMAT,HAZARDOUS MATERIALS INCIDENT,LEVEL1,LEVEL 1 INCIDENT   (F) (E) (P),0,0,0,0,13,10,11,22,2014,2018
HAZMATLEVEL2,HAZMAT,HAZARDOUS MATERIALS INCIDENT,LEVEL2,LEVEL 2 INCIDENT   (F) (E) (P),0,0,0,0,9,7,7,7,2014,2019
HAZMATLEVEL3,HAZMAT,HAZARDOUS MATERIALS INCIDENT,LEVEL3,LEVEL 3 INCIDENT   (F) (E) (P),0,0,0,0,2,0,0,0,2015,2015
HAZMATRAD,HAZMAT,HAZARDOUS MATERIALS INCIDENT,RAD,RADIOACTIVE MATERIAL INCIDENT   (F) (E) (P),0,0,0,0,1,0,0,0,2014,2015
HOMINVDEFAULT,HOMINV,HOME INVASION,DEFAULT,NA,0,0,0,0,50,44,33,28,2014,2019
INJ1,INJ,INJURY,1,SERIOUS INJURY   (E) (F) (P),0,0,0,0,151,133,131,113,2014,2019
INJOFFDEFAULT,INJOFF,INJURED OFFICER,DEFAULT,NA,0,0,0,0,405,461,456,467,2014,2019
INVEST===>>>,INVEST,INVESTIGATION,===>>>,PICK A SUB-TYPE,0,0,0,0,1266,1425,1362,1136,2014,2019
INVESTEMSINV,INVEST,INVESTIGATION,EMSINV,CONS AND/OR MOVING   (E) (P),0,0,0,0,8383,8810,9059,8460,2014,2019
INVESTNOTIFY,INVEST,INVESTIGATION,NOTIFY,NOTIFICATION,0,0,0,0,342,335,359,562,2014,2019
INVESTPRIOR,INVEST,INVESTIGATION,PRIOR,PRIOR INCIDENT INVESTIGATION,0,0,0,0,973,734,858,890,2014,2019
INVESTVENDOR,INVEST,INVESTIGATION,VENDOR,INSPECTION OR REMOVAL,0,0,0,0,8,8,8,10,2014,2019
IVMVABANMV,IVMV,INVESTIGATE MOTOR VEHICLE,ABANMV,ABANDONED MOTOR VEHICLE,0,0,0,0,971,915,1003,880,2014,2019
IVMVALARM,IVMV,INVESTIGATE MOTOR VEHICLE,ALARM,VEHICLE ALARM,0,0,0,0,594,557,689,827,2014,2019
IVMVATTACH,IVMV,INVESTIGATE MOTOR VEHICLE,ATTACH,ATTACHED PLATES,0,0,0,0,0,0,31,59,2017,2019
IVMVCARBLK,IVMV,INVESTIGATE MOTOR VEHICLE,CARBLK,CAR BLOCKING,0,0,0,0,2579,1656,1850,1784,2014,2019
IVMVDEFAULT,IVMV,INVESTIGATE MOTOR VEHICLE,DEFAULT,NA,0,0,0,0,7709,7008,7569,7148,2014,2019
IVMVDMV,IVMV,INVESTIGATE MOTOR VEHICLE,DMV,DISABLED MOTOR VEHICLE,0,0,0,0,2610,2074,2154,2214,2014,2019
IVMVFBOAT,IVMV,INVESTIGATE MOTOR VEHICLE,FBOAT,BOAT FIRE,0,0,0,0,0,1,0,0,2016,2016
IVMVFV,IVMV,INVESTIGATE MOTOR VEHICLE,FV,VEHICLE FIRE,0,0,0,0,7,8,9,12,2014,2018
IVMVILLPRK,IVMV,INVESTIGATE MOTOR VEHICLE,ILLPRK,ILLEGALLY PARKED VEHICLE,0,0,0,0,14294,13583,13558,13157,2014,2019
IVMVMVBLDR,IVMV,INVESTIGATE MOTOR VEHICLE,MVBLDR,MOTOR VEHICLE BLOCKING DRIVEWAY,0,0,0,0,4266,4092,4483,4246,2014,2019
IVMVRECMV,IVMV,INVESTIGATE MOTOR VEHICLE,RECMV,RECOVERY OF STOLEN MOTOR VEHICLE,0,0,0,0,670,732,769,683,2014,2019
IVMVSTOLEN,IVMV,INVESTIGATE MOTOR VEHICLE,STOLEN,STOLEN MOTOR VEHICLE REPORT,0,0,0,0,1540,1387,1347,1324,2014,2019
IVMVVIOMVL,IVMV,INVESTIGATE MOTOR VEHICLE,VIOMVL,VIOLATION OF THE MOTOR VEHICLE LAWS,0,0,0,0,3350,3377,3305,2865,2014,2019
IVPER===>>>,IVPER,INVESTIGATE PERSON,===>>>,PICK A SUB-TYPE,0,0,0,0,24429,22698,22476,21398,2014,2019
IVPERCONFPR,IVPER,INVESTIGATE PERSON,CONFPR,CONFUSED PERSON,0,0,0,0,754,855,775,814,2014,2019
IVPERCURFEW,IVPER,INVESTIGATE PERSON,CURFEW,CURFEW VIOLATION REPORT,0,0,0,0,128,128,164,116,2014,2019
IVPERDOGBIT,IVPER,INVESTIGATE PERSON,DOGBIT,DOG BITE,0,0,0,0,95,86,101,87,2014,2019
IVPERFDCHLD,IVPER,INVESTIGATE PERSON,FDCHLD,FOUND CHILD,0,0,0,0,109,96,117,98,2014,2019
IVPERHARPT,IVPER,INVESTIGATE PERSON,HARPT,HARASSMENT REPORT,0,0,0,0,2462,2506,2590,2463,2014,2019
IVPERINJRPT,IVPER,INVESTIGATE PERSON,INJRPT,INJURY REPORT,0,0,0,0,111,147,187,126,2014,2019
IVPERINVCHD,IVPER,INVESTIGATE PERSON,INVCHD,INVESTIGATE CHILD,0,0,0,0,1784,1896,1916,2005,2014,2019
IVPERLEWD,IVPER,INVESTIGATE PERSON,LEWD,LEWD/LASCIVIOUS BEHAVIOR,1,0,0,0,1001,1049,1065,982,2014,2019
IVPERMEET,IVPER,INVESTIGATE PERSON,MEET,ASSIST CITIZEN,0,0,0,0,3209,3199,3151,3049,2014,2019
IVPERMISPER,IVPER,INVESTIGATE PERSON,MISPER,MISSING PERSON REPORT,0,0,0,0,2075,2148,2272,1861,2014,2019
IVPERMSNCOM,IVPER,INVESTIGATE PERSON,MSNCOM,MISSING PERSON WITH COMPLICATIONS,0,0,0,0,751,770,765,944,2014,2019
IVPERPROSTI,IVPER,INVESTIGATE PERSON,PROSTI,PROSTITUTES,0,0,0,0,214,182,170,173,2014,2019
IVPERPRWLER,IVPER,INVESTIGATE PERSON,PRWLER,PROWLER NIGHTTIME,0,0,0,0,110,96,126,84,2014,2019
IVPERREMOVE,IVPER,INVESTIGATE PERSON,REMOVE,REMOVAL,0,0,0,0,10879,12262,13053,15575,2014,2019
IVPERSS,IVPER,INVESTIGATE PERSON,SS,SUBJECT STOP,0,0,0,0,300,347,289,280,2014,2019
IVPERSUSPER,IVPER,INVESTIGATE PERSON,SUSPER,SUSPICIOUS PERSON,0,0,0,0,4434,4429,4536,4223,2014,2019
IVPERTEROBS,IVPER,INVESTIGATE PERSON,TEROBS,TERRORIST OBSERVATION,0,0,0,0,3,2,1,1,2015,2018
IVPERTHREAT,IVPER,INVESTIGATE PERSON,THREAT,THREAT REPORT,0,0,0,0,3565,3725,3277,3278,2014,2019
IVPERTRANSP,IVPER,INVESTIGATE PERSON,TRANSP,TRANSPORT,0,0,0,0,587,542,544,795,2014,2019
IVPERTRESPS,IVPER,INVESTIGATE PERSON,TRESPS,TRESPASS NO THREATS,0,0,0,0,887,987,953,889,2014,2019
IVPERUNK,IVPER,INVESTIGATE PERSON,UNK,UNKNOWN CONDITION,0,0,0,0,2839,3010,3699,4172,2014,2019
IVPREM===>>>,IVPREM,INVESTIGATE PREMISE,===>>>,NA,0,0,0,0,7845,7320,7359,7114,2014,2019
IVPREMBRKDOG,IVPREM,INVESTIGATE PREMISE,BRKDOG,BARKING DOG,0,0,0,0,339,280,295,240,2014,2019
IVPREMDRUG,IVPREM,INVESTIGATE PREMISE,DRUG,INVESTIGATE DRUG LOCATION/USE,0,0,0,0,2612,2934,3413,3097,2014,2019
IVPREMDWNPWR,IVPREM,INVESTIGATE PREMISE,DWNPWR,DOWN POWER LINES,0,0,0,0,361,420,454,540,2014,2019
IVPREMEMERPH,IVPREM,INVESTIGATE PREMISE,EMERPH,EMERGENCY PHONE ACTIVATION,0,0,0,0,257,222,54,6,2014,2019
IVPREMFDPROP,IVPREM,INVESTIGATE PREMISE,FDPROP,FOUND PROPERTY,0,0,0,0,413,288,293,269,2014,2019
IVPREMFIRWKS,IVPREM,INVESTIGATE PREMISE,FIRWKS,FIREWORKS,0,0,0,0,1189,1371,1343,1059,2014,2019
IVPREMHAZ,IVPREM,INVESTIGATE PREMISE,HAZ,HAZARD BUILDING/SIDEWALK/STREET,0,0,0,0,1084,914,1044,952,2014,2019
IVPREMINJAML,IVPREM,INVESTIGATE PREMISE,INJAML,INJURED ANIMAL,0,0,0,0,132,105,108,92,2014,2019
IVPREMIVDRUG,IVPREM,INVESTIGATE PREMISE,IVDRUG,INVESTIGATE DRUG LOCATION/USE,0,0,0,0,2460,2015,1938,1725,2014,2019
IVPREMIVLIC,IVPREM,INVESTIGATE PREMISE,IVLIC,LICENSED PREMISE CHECK,0,0,0,0,864,1190,1101,891,2014,2019
IVPREMTRACK,IVPREM,INVESTIGATE PREMISE,TRACK,TRACK CELLULLAR PHONE,0,0,0,0,116,175,206,193,2014,2019
IVPREMTRAFFIC,IVPREM,INVESTIGATE PREMISE,TRAFFIC,TRAFFIC ISSUE,0,0,0,0,1400,963,1069,1012,2014,2019
IVPREMTREE,IVPREM,INVESTIGATE PREMISE,TREE,DOWN TREE NO WIRES ,0,0,0,0,44,167,186,193,2015,2019
IVPREMVICDOG,IVPREM,INVESTIGATE PREMISE,VICDOG,VICIOUS DOG - NO INJURIES,0,0,0,0,399,304,243,255,2014,2019
JUMPERDEFAULT,JUMPER,JUMPER   (P) (E) (F),DEFAULT,NA,0,0,0,0,62,67,51,58,2014,2019
KIDNAPDEFAULT,KIDNAP,KIDNAPPING,DEFAULT,NA,0,0,0,0,40,28,36,44,2014,2019
LANTENDEFAULT,LANTEN,LANDLORD TENANT ISSUE,DEFAULT,NA,0,1,0,0,915,845,780,788,2014,2019
LARCENY===>>>,LARCENY,LARCENY,===>>>,PICK A SUB-TYPE,0,0,0,0,46,29,39,27,2014,2018
LARCENYIP,LARCENY,LARCENY,IP,IN PROGRESS,0,0,0,0,3127,3244,3330,3350,2014,2019
LARCENYRPT,LARCENY,LARCENY,RPT,REPORT,0,0,0,0,11470,11395,11248,10950,2014,2019
LARCENYSHPLFT,LARCENY,LARCENY,SHPLFT,SHOPLIFTER IN CUSTODY,0,0,0,0,978,908,991,756,2014,2019
LOCKOUTLOCK,LOCKOUT,LOCKOUT LOCKIN,LOCK,LOCKOUT/LOCKIN   (P) (F),0,0,0,0,1160,1166,1314,1460,2014,2019
LOGANALERT2,LOGAN,LOGAN AIRCRAFT,ALERT2,ALERT 2   (F) (E) (P),0,0,0,0,61,56,60,66,2014,2019
MAJORCOLB,MAJOR,MAJOR INCIDENT,COLB,BUILDING COLLAPSE   (F) (E) (P),0,0,0,0,6,1,2,2,2014,2018
MAJORCOLC,MAJOR,MAJOR INCIDENT,COLC,"CAVE IN, COLLAPSE/TRENCH   (F) (E) (P)",0,0,0,0,1,2,0,1,2015,2019
MAJORCONF,MAJOR,MAJOR INCIDENT,CONF,CONFINED SPACE   (F) (E) (P),0,0,0,0,3,4,1,2,2014,2018
MAJORHIANGLE,MAJOR,MAJOR INCIDENT,HIANGLE,ELEVATED HEIGHT RESCUE   (F) (E) (P),0,0,0,0,2,8,4,2,2015,2019
MAJORTRAIN,MAJOR,MAJOR INCIDENT,TRAIN,TRAIN SMOKE/FIRE/ACCIDENT    (F) (E) (P),0,0,0,0,1,0,4,0,2014,2017
